term,Cmean,I,K,K.star,Lambda,value,MONTH
response,0.2584,0.0735,0.1652,0.1848,0.3915,Statistic,Jan
response,1e-4,1e-4,1e-4,1e-4,1e-4,P value,Jan
response,0.2512,0.0663,0.1659,0.1856,0.3899,Statistic,Feb
response,1e-4,1e-4,1e-4,1e-4,1e-4,P value,Feb
response,0.2057,0.0454,0.1437,0.1599,0.2871,Statistic,Mar
response,1e-4,2e-4,1e-4,1e-4,2e-4,P value,Mar
response,0.117,0.0119,0.139,0.1492,0.0838,Statistic,Apr
response,0.0044,0.0454,3e-4,1e-4,0.4599,P value,Apr
response,0.1227,0.0117,0.1404,0.15310000000000001,0,Statistic,May
response,0.004,0.0535,2e-4,5e-4,1,P value,May
response,0.1888,0.0268,0.1389,0.1554,0.4292,Statistic,Jun
response,1e-4,0.0033,2e-4,2e-4,0.0053,P value,Jun
response,0.1895,0.0222,0.1507,0.1684,0.4002,Statistic,Jul
response,1e-4,0.0092,1e-4,1e-4,0.03,P value,Jul
response,0.137,0.007,0.1495,0.1651,1e-4,Statistic,Aug
response,0.0016,0.1128,1e-4,1e-4,1,P value,Aug
response,0.1907,0.0146,0.1554,0.1684,0.3635,Statistic,Sep
response,2e-4,0.0323,1e-4,1e-4,0.1212,P value,Sep
response,0.1521,0.0086,0.1263,0.1363,0.0603,Statistic,Oct
response,5e-4,0.0831,8e-4,0.0014,0.3948,P value,Oct
response,0.1997,0.032,0.1388,0.1552,0.2321,Statistic,Nov
response,1e-4,0.0016,2e-4,3e-4,0.0169,P value,Nov
response,0.2614,0.0656,0.1658,0.1855,0.3947,Statistic,Dec
response,1e-4,1e-4,1e-4,1e-4,1e-4,P value,Dec
